x;y;z;yaw;velocity;change_flag;x_real;y_real
46,1748;-18,3036;-1.1002;1.5334;21.4686;0;639816,175;5195021,696
46,1758;-17,1062;-1.0997;1.5209;21.352;0;639816,176;5195022,894
46,1989;-15,9309;-1.1001;1.5061;21.0019;0;639816,199;5195024,069
46,2342;-14,7732;-1.1008;1.4918;20.8853;0;639816,234;5195025,227
46,2849;-13,6252;-1.101;1.4777;20.7686;0;639816,285;5195026,375
46,3539;-12,4899;-1.1012;1.4637;20.4186;0;639816,354;5195027,510
46,4329;-11,3634;-1.1015;1.452;20.3019;0;639816,433;5195028,637
46,525;-10,239;-1.1015;1.4409;20.1852;0;639816,525;5195029,761
46,6271;-9,1252;-1.1015;1.4304;20.0685;0;639816,627;5195030,875
46,739;-8,0187;-1.1014;1.4212;19.8352;0;639816,739;5195031,981
46,8597;-6,9217;-1.1012;1.4126;19.8352;0;639816,860;5195033,078
46,9873;-5,8341;-1.1012;1.4097;19.7185;0;639816,987;5195034,166
47,1073;-4,7497;-1.1012;1.4135;19.7185;0;639817,107;5195035,250
47,2196;-3,6651;-1.1013;1.4221;19.7185;0;639817,220;5195036,335
47,3199;-2,5845;-1.1014;1.4335;19.7185;0;639817,320;5195037,416
47,4041;-1,4973;-1.1015;1.447;19.8352;0;639817,404;5195038,503
47,4772;-0,4043;-1.1015;1.46;19.9518;0;639817,477;5195039,596
47,5348;0,6943;-1.1014;1.4729;19.9518;0;639817,535;5195040,694
47,5779;1,7984;-1.1013;1.4854;20.0685;0;639817,578;5195041,798
47,6095;2,9094;-1.1012;1.4953;20.0685;0;639817,610;5195042,909
47,6334;4,0208;-1.1013;1.5034;20.1852;0;639817,633;5195044,021
47,6491;5,1366;-1.1016;1.5104;20.3019;0;639817,649;5195045,137
47,6569;6,2573;-1.1016;1.5172;20.3019;0;639817,657;5195046,257
47,6578;7,3831;-1.1017;1.5231;20.1852;0;639817,658;5195047,383
47,6535;8,5082;-1.1017;1.5279;19.7185;0;639817,654;5195048,508
47,6442;9,6318;-1.1015;1.533;19.9518;0;639817,644;5195049,632
47,6285;10,7378;-1.1015;1.5372;19.7185;0;639817,629;5195050,738
47,6086;11,8335;-1.1015;1.5415;19.6018;0;639817,609;5195051,834
47,586;12,9171;-1.1015;1.5438;19.2518;0;639817,586;5195052,917
47,56;13,9904;-1.1013;1.5462;19.0184;0;639817,560;5195053,990
47,5333;15,0557;-1.1011;1.5483;18.7851;0;639817,533;5195055,056
47,5062;16,1021;-1.1007;1.5502;18.2017;0;639817,506;5195056,102
47,4792;17,1216;-1.1002;1.5528;17.735;0;639817,479;5195057,122
47,431;18,5981;-1.1001;1.5557;17.1516;0;639817,431;5195058,598
47,382;20,0156;-1.1;1.5586;16.4515;0;639817,382;5195060,016
47,3291;21,3748;-1.1003;1.5618;15.7515;0;639817,329;5195061,375
47,2768;22,6737;-1.1006;1.5645;15.2847;0;639817,277;5195062,674
47,2206;23,9378;-1.1011;1.5702;15.0514;0;639817,221;5195063,938
47,1458;25,1766;-1.1016;1.5938;14.818;0;639817,146;5195065,177
47,0209;26,3942;-1.1015;1.6453;14.5847;0;639817,021;5195066,394
46,8061;27,5742;-1.1009;1.7259;14.468;0;639816,806;5195067,574
46,4906;28,6923;-1.1011;1.8293;14.2346;0;639816,491;5195068,692
46,0555;29,7272;-1.1021;1.9528;14.0013;0;639816,056;5195069,727
45,4934;30,6681;-1.1034;2.0815;14.118;0;639815,493;5195070,668
44,8349;31,5343;-1.1038;2.2039;13.5346;0;639814,835;5195071,534
44,075;32,3223;-1.1036;2.3188;13.5346;0;639814,075;5195072,322
43,2201;33,0464;-1.1024;2.4229;13.7679;0;639813,220;5195073,046
42,2867;33,7025;-1.0997;2.5142;13.7679;0;639812,287;5195073,703
41,2872;34,2674;-1.0976;2.6069;14.0013;0;639811,287;5195074,267
40,2325;34,7444;-1.096;2.6988;14.0013;0;639810,233;5195074,744
39,1286;35,1256;-1.0942;2.7857;14.118;0;639809,129;5195075,126
38,005;35,4149;-1.0936;2.8625;14.0013;0;639808,005;5195075,415
36,8677;35,6186;-1.0931;2.9353;13.8846;0;639806,868;5195075,619
35,7255;35,7414;-1.0934;3.0071;13.7679;0;639805,726;5195075,741
34,5865;35,7678;-1.0944;3.0733;13.6513;0;639804,587;5195075,768
33,4564;35,7557;-1.0953;3.1094;13.5346;0;639803,456;5195075,756
32,3398;35,7202;-1.0951;3.1284;12.4845;0;639802,340;5195075,720
31,2901;35,6798;-1.0951;-3.1413;11.6677;0;639801,290;5195075,680
30,0343;35,6112;-1.0952;-3.1295;10.6176;0;639800,034;5195075,611
28,8918;35,5387;-1.0957;-3.1276;9.8009;0;639798,892;5195075,539
27,8178;35,4825;-1.0956;-3.133;9.1008;0;639797,818;5195075,483
26,5873;35,4205;-1.0956;-3.141;8.2841;0;639796,587;5195075,421
25,4941;35,3767;-1.0956;3.1329;7.1173;0;639795,494;5195075,377
24,3953;35,342;-1.0956;3.1265;5.6005;0;639794,395;5195075,342
23,3811;35,3119;-1.0957;3.1261;1.9835;0;639793,381;5195075,312
