x_real;y_real;z_real;yaw;velocity;change_flag
640189.3321;5193541.2898;160.0000;3.1012;17.9683;0
640187.8484;5193541.2770;160.0000;3.0965;17.6183;0
640186.4000;5193541.2715;160.0000;3.0919;17.1516;0
640184.9895;5193541.2713;160.0000;3.0828;16.8016;0
640183.6119;5193541.2931;160.0000;3.0685;16.3348;0
640182.2755;5193541.3344;160.0000;3.0531;15.8681;0
640180.9787;5193541.3980;160.0000;3.0354;15.4014;0
640179.7221;5193541.4796;160.0000;3.0134;14.8180;0
640178.5081;5193541.5964;160.0000;2.9849;14.4680;0
640177.3362;5193541.7385;160.0000;2.9512;14.0013;0
640176.2080;5193541.9254;160.0000;2.9108;13.5346;0
640175.1247;5193542.1524;160.0000;2.8669;13.0679;0
640174.0918;5193542.4130;160.0000;2.8240;12.7178;0
640173.1047;5193542.7070;160.0000;2.7827;12.2511;0
640172.1581;5193543.0315;160.0000;2.7430;11.9011;0
640170.9627;5193543.5057;160.0000;2.6917;11.4344;0
640169.8418;5193544.0093;160.0000;2.6376;10.9677;0
640168.8037;5193544.5587;160.0000;2.5784;10.5010;0
640167.8420;5193545.1413;160.0000;2.5186;9.9176;0
640166.9558;5193545.7440;160.0000;2.4633;9.4509;0
640166.1534;5193546.3625;160.0000;2.4124;8.7508;0
640165.2595;5193547.1267;160.0000;2.3572;8.0507;0
640164.4714;5193547.8596;160.0000;2.3234;7.3507;0
640163.6738;5193548.6495;160.0000;2.2967;5.8339;0
640162.9016;5193549.4451;160.0000;2.2753;4.0837;0
640162.2183;5193550.1802;160.0000;2.2591;2.6836;0
640161.5500;5193550.9279;160.0000;2.2516;0.8167;0
