x;y;z;yaw;velocity;change_flag;x_real;y_real
2,7414;-10,0406;-1,1017;1,7444;21,1186;0;639772,74;5195029,96
2,484;-8,8769;-1,1006;1,7434;20,6519;0;639772,48;5195031,12
2,2341;-7,7272;-1,1002;1,7414;21,0019;0;639772,23;5195032,27
1,9873;-6,592;-1,1003;1,739;20,7686;0;639771,99;5195033,41
1,7471;-5,468;-1,1004;1,7346;20,5352;0;639771,75;5195034,53
1,5187;-4,3513;-1,1004;1,7264;20,3019;0;639771,52;5195035,65
1,3085;-3,2411;-1,1003;1,7129;20,0685;0;639771,31;5195036,76
1,1185;-2,1428;-1,1003;1,6984;19,9518;0;639771,12;5195037,86
0,9448;-1,0551;-1,1004;1,6838;19,6018;0;639770,94;5195038,94
0,7867;0,028;-1,1005;1,669;19,4851;0;639770,79;5195040,03
0,6462;1,0974;-1,1004;1,6553;19,3685;0;639770,65;5195041,10
0,5225;2,1594;-1,1003;1,6422;19,1351;0;639770,52;5195042,16
0,4103;3,2094;-1,1004;1,63;18,9017;0;639770,41;5195043,21
0,3123;4,2532;-1,1002;1,6191;18,5517;0;639770,31;5195044,25
0,2254;5,2874;-1,1001;1,6095;18,5517;0;639770,23;5195045,29
0,1452;6,315;-1,1001;1,6015;18,3184;0;639770,15;5195046,32
0,0773;7,3278;-1,1001;1,594;18,2017;0;639770,08;5195047,33
0,0133;8,3288;-1,1003;1,5888;17,9683;0;639770,01;5195048,33
-0,0759;9,8117;-1,1007;1,5826;17,735;0;639769,92;5195049,81
-0,1523;11,2773;-1,1007;1,5766;17,5016;0;639769,85;5195051,28
-0,2189;12,7178;-1,1007;1,5707;17,1516;0;639769,78;5195052,72
-0,2745;14,1349;-1,1008;1,565;16,8016;0;639769,73;5195054,13
-0,3258;15,5296;-1,1008;1,5596;16,5682;0;639769,67;5195055,53
-0,3675;16,9056;-1,1008;1,5542;16,3348;0;639769,63;5195056,91
-0,4036;18,2487;-1,1011;1,5487;15,9848;0;639769,60;5195058,25
-0,4278;19,5711;-1,1013;1,5353;15,7515;0;639769,57;5195059,57
-0,4142;20,8689;-1,1016;1,4988;15,5181;0;639769,59;5195060,87
-0,3275;22,1333;-1,102;1,4348;15,2847;0;639769,67;5195062,13
-0,1483;23,3641;-1,1019;1,3472;15,0514;0;639769,85;5195063,36
0,1567;24,5386;-1,1015;1,2369;14,818;0;639770,16;5195064,54
0,5939;25,6381;-1,1011;1,1099;15,0514;0;639770,59;5195065,64
1,1619;26,6472;-1,1016;0,9787;14,818;0;639771,16;5195066,65
1,8603;27,5652;-1,102;0,8421;14,7014;0;639771,86;5195067,57
2,6821;28,3827;-1,1023;0,7067;14,7014;0;639772,68;5195068,38
3,6121;29,0947;-1,1025;0,5749;14,7014;0;639773,61;5195069,09
4,634;29,6824;-1,1024;0,4506;14,818;0;639774,63;5195069,68
5,7257;30,1496;-1,1032;0,3354;14,818;0;639775,73;5195070,15
6,873;30,502;-1,1039;0,2376;14,9347;0;639776,87;5195070,50
8,0586;30,7621;-1,1049;0,1604;14,9347;0;639778,06;5195070,76
9,2796;30,9548;-1,1051;0,1021;15,0514;0;639779,28;5195070,95
10,5217;31,0967;-1,1055;0,0636;15,0514;0;639780,52;5195071,10
11,7666;31,2019;-1,1053;0,0376;14,818;0;639781,77;5195071,20
12,9955;31,287;-1,1051;0,0217;14,468;0;639783,00;5195071,29
14,2008;31,3523;-1,1051;0,0131;14,2346;0;639784,20;5195071,35
15,3788;31,4187;-1,1049;0,008;13,7679;0;639785,38;5195071,42
16,5155;31,4733;-1,1049;0,0032;13,3012;0;639786,52;5195071,47
17,6006;31,5238;-1,1051;0,0021;12,0178;0;639787,60;5195071,52
18,6022;31,5736;-1,1049;0,003;10,9677;0;639788,60;5195071,57
19,7625;31,6307;-1,105;0,0031;9,1008;0;639789,76;5195071,63
20,8983;31,6816;-1,1047;0,0009;6,6506;0;639790,90;5195071,68
21,8998;31,7265;-1,1048;-0,0018;3,3836;0;639791,90;5195071,73
